dataset,task,n,episodes,label_residual_rho,rho_ci_low,rho_ci_high,progress_monotone_rho,descriptive_progress_max_min,cross_episode_progress_high_low,both_progress_folds_above_one,progress_fold_ratios,stage_rms
gr1,gr1_unified.PosttrainPnPNovelFromPlateToBowlSplitA,120,12,0.4709215917772067,0.33377667599409705,0.5795427392405372,0.2713382873810681,2.931175565804284,0.8360226449198964,False,"[0.8704269454003498, 0.8029782011141522]","[0.049758905451970314, 0.03396102270058052, 0.027962773032573066, 0.0665887222980066, 0.07929321981817972, 0.07689899786876007, 0.08196379706520913, 0.07108775244395416, 0.07939186748294294, 0.05941840153219026]"
gr1,gr1_unified.PosttrainPnPNovelFromPlateToCardboardboxSplitA,120,12,0.4436905340648655,0.33270489247503726,0.5374470149163436,0.19917181030518466,3.64751006956498,1.5851721524098767,True,"[1.6114643631509613, 1.5593089181708242]","[0.047600628487896014, 0.03707456660458722, 0.03619731284945486, 0.13203006310958046, 0.06217055182079609, 0.051625068338842124, 0.04531620862310896, 0.0762111763208455, 0.09713699483473263, 0.09779097249744967]"
gr1,gr1_unified.PosttrainPnPNovelFromPlateToPanSplitA,120,12,0.33944023890547953,0.105533655181995,0.539076805668163,0.14566983818320717,2.137890185177058,1.1156679597465684,True,"[1.226707132588366, 1.0146798394973933]","[0.07082489535305089, 0.06944167572944523, 0.05616102417201962, 0.06903208011521489, 0.08833456984063737, 0.08014104138359435, 0.08901612263431499, 0.07752831038245617, 0.10707086605072755, 0.12006610236685226]"
gr1,gr1_unified.PosttrainPnPNovelFromPlateToPlateSplitA,120,12,0.17095631641086184,-0.01574634274434531,0.31899103917754934,0.17191471629974303,2.130238523947332,0.8456176736816696,False,"[0.7833413931133598, 0.9128449694210387]","[0.05234307215462616, 0.035620502979316175, 0.035237734832949875, 0.07506478023779063, 0.07313913856804131, 0.06650705415693164, 0.059304998627828134, 0.07031712204743638, 0.059234894656905825, 0.05980735976221202]"
gr1,gr1_unified.PosttrainPnPNovelFromTrayToCardboardboxSplitA,120,12,0.4689631224390582,0.27931377872355384,0.6092610822872906,0.013469708781374531,2.21453470889996,1.421224348007954,True,"[1.3940015517908753, 1.4489787653218131]","[0.10138412360829302, 0.059262121935257976, 0.0486275259891127, 0.10527124864599031, 0.06105241084511508, 0.04873325103434922, 0.0569538802623905, 0.07699088286010275, 0.08777874776973218, 0.047536508785758595]"
gr1,gr1_unified.PosttrainPnPNovelFromTrayToPlateSplitA,120,12,0.4301618167928328,0.23210383466011353,0.6244064740968076,-0.0005764329219732178,2.3055795939657204,1.0930935840840699,False,"[1.2886993429916485, 0.9271779256067341]","[0.11050299877904668, 0.06522788424145652, 0.10244745367401796, 0.08412321853757923, 0.10822777803491593, 0.07798576000762068, 0.05626323053829414, 0.07167346535814408, 0.09729003152181485, 0.04792851180165748]"
gr1,gr1_unified.PosttrainPnPNovelFromTrayToPotSplitA,120,12,0.48413778734634344,0.2932071941792869,0.6231365755597696,0.22640539761716336,2.3020264799353916,0.5647014803892204,False,"[0.5725121407378113, 0.5569973792046018]","[0.05718797544293659, 0.07981746879975993, 0.05317261452531589, 0.07086552920388405, 0.1224047666446744, 0.08130954229687404, 0.07078570338021031, 0.09775762845114634, 0.06303015909496326, 0.10354046922946845]"
gr1,gr1_unified.PosttrainPnPNovelFromTrayToTieredbasketSplitA,120,12,0.4204875338565178,0.2524417732243434,0.5422429127259139,0.09911469392801578,2.1519430201872027,0.9492090348534079,False,"[0.8098460663791784, 1.1125543844099892]","[0.04734375441984658, 0.04484825385345329, 0.05294773176300767, 0.08744500071172345, 0.057255317871428256, 0.06520506181726136, 0.04971955779166386, 0.08319975871498941, 0.07428713973854854, 0.09651088684752263]"
gr1,gr1_unified.PosttrainPnPNovelFromTrayToTieredshelfSplitA,120,12,0.2806305993471768,0.03957275098819173,0.5219941818434781,0.11529967358844362,3.330015443188483,0.993756900179744,False,"[0.9776969311268815, 1.0100806755285736]","[0.03731446224362879, 0.03834868236650934, 0.040712877220635615, 0.12425773552555745, 0.06177136135397312, 0.07704753741579924, 0.04789241930393875, 0.04660050563557491, 0.06414430244508526, 0.054069754250569965]"
pi05,open the middle drawer of the cabinet,120,12,-0.1726925480936176,-0.3455584908032112,0.03682769166792509,-0.08592972763699255,2.024307967529885,1.1327925741192297,True,"[1.146075096352425, 1.1196639906614574]","[0.07288214285453115, 0.07057461553666226, 0.06569366663752149, 0.0701765741102806, 0.07577317118199868, 0.08264552536543582, 0.09471952899861105, 0.08332010288281497, 0.04679106663507844, 0.06499314467350661]"
